Número de documentos (noticias) del corpus: 5909
Número de palabras del corpus: 507648
Palabra:acquired Frec:50 LogProb:-9.262465771048976
Palabra:acquirer Frec:0 LogProb:-13.194291403773303
Palabra:acquisition Frec:174 LogProb:-8.029505429849788
Palabra:acquisitive Frec:10 LogProb:-10.796396130974932
Palabra:acquittal Frec:2 LogProb:-12.095679115105193
Palabra:acre Frec:15 LogProb:-10.421702681533521
Palabra:acreage Frec:4 LogProb:-11.584853491339203
Palabra:acrid Frec:1 LogProb:-12.501144223213357
Palabra:acridness Frec:1 LogProb:-12.501144223213357
Palabra:acrimonious Frec:6 LogProb:-11.248381254717989
Palabra:acrimony Frec:1 LogProb:-12.501144223213357
Palabra:acrobacy Frec:6 LogProb:-11.248381254717989
Palabra:acrobat Frec:94 LogProb:-8.640414512172763
Palabra:acronym Frec:2 LogProb:-12.095679115105193
Palabra:acropolis Frec:2 LogProb:-12.095679115105193
Palabra:across Frec:82 LogProb:-8.775450795976704
Palabra:acrylate Frec:3 LogProb:-11.807997042653412
Palabra:acrylic Frec:10 LogProb:-10.796396130974932
Palabra:act Frec:752 LogProb:-6.570226175973409
Palabra:acta Frec:0 LogProb:-13.194291403773303
Palabra:acting Frec:18 LogProb:-10.249852424606862
Palabra:actinic Frec:5 LogProb:-11.402531934545248
Palabra:actinolite Frec:2 LogProb:-12.095679115105193
Palabra:actinometer Frec:1 LogProb:-12.501144223213357
Palabra:action Frec:264 LogProb:-7.6145615777870805
Palabra:actionable Frec:0 LogProb:-13.194291403773303
Palabra:actional Frec:0 LogProb:-13.194291403773303
Palabra:activate Frec:12 LogProb:-10.629342046311766
Palabra:activation Frec:8 LogProb:-10.997066826437084
Palabra:activator Frec:1 LogProb:-12.501144223213357
Palabra:active Frec:96 LogProb:-8.61958042526992
Palabra:actively Frec:13 LogProb:-10.555234074158044
Palabra:activism Frec:0 LogProb:-13.194291403773303
Palabra:activist Frec:0 LogProb:-13.194291403773303
Palabra:activity Frec:60 LogProb:-9.083417539599992
Palabra:acton Frec:3 LogProb:-11.807997042653412
Palabra:actor Frec:3 LogProb:-11.807997042653412
Palabra:actress Frec:6 LogProb:-11.248381254717989
Palabra:actu Frec:1 LogProb:-12.501144223213357
Palabra:actual Frec:222 LogProb:-7.787119632313185
Palabra:actualization Frec:2 LogProb:-12.095679115105193
Palabra:actualize Frec:0 LogProb:-13.194291403773303
Palabra:actually Frec:123 LogProb:-8.374009838168266
Palabra:actuarial Frec:5 LogProb:-11.402531934545248
Palabra:actuation Frec:0 LogProb:-13.194291403773303
Palabra:acumen Frec:3 LogProb:-11.807997042653412
Palabra:acupuncture Frec:1 LogProb:-12.501144223213357
Palabra:acute Frec:3 LogProb:-11.807997042653412
Palabra:acutely Frec:0 LogProb:-13.194291403773303
Palabra:acyclic Frec:1 LogProb:-12.501144223213357
Palabra:acylogen Frec:4 LogProb:-11.584853491339203
Palabra:ad Frec:193 LogProb:-7.926433244709975
Palabra:adage Frec:5 LogProb:-11.402531934545248
Palabra:adagio Frec:2 LogProb:-12.095679115105193
