Número de documentos (noticias) del corpus: 9056
Número de palabras del corpus: 824683
Palabra:afoul Frec:1 LogProb:-12.929607168492595
Palabra:afraid Frec:47 LogProb:-9.75155333814465
Palabra:afresh Frec:3 LogProb:-12.23645998793265
Palabra:afterglow Frec:1 LogProb:-12.929607168492595
Palabra:afterlife Frec:4 LogProb:-12.013316436618439
Palabra:aftermath Frec:6 LogProb:-11.676844199997227
Palabra:afternoon Frec:278 LogProb:-7.991542567231174
Palabra:afternoons Frec:4 LogProb:-12.013316436618439
Palabra:afterthought Frec:3 LogProb:-12.23645998793265
Palabra:afterward Frec:1 LogProb:-12.929607168492595
Palabra:afterwards Frec:12 LogProb:-11.057804991591002
Palabra:age Frec:125 LogProb:-8.786472442101061
Palabra:aged Frec:12 LogProb:-11.057804991591002
Palabra:ageless Frec:1 LogProb:-12.929607168492595
Palabra:agency Frec:103 LogProb:-8.978363449911168
Palabra:agenda Frec:152 LogProb:-8.592316427660105
Palabra:agent Frec:100 LogProb:-9.00763383221128
Palabra:agentive Frec:10 LogProb:-11.22485907625417
Palabra:ager Frec:2 LogProb:-12.52414206038443
Palabra:agglutinative Frec:9 LogProb:-11.320169256058493
Palabra:aggrandizement Frec:2 LogProb:-12.52414206038443
Palabra:aggregate Frec:22 LogProb:-10.48726013312339
Palabra:aggregation Frec:25 LogProb:-10.364657811031057
Palabra:aggregator Frec:13 LogProb:-10.983697019437281
Palabra:aggressive Frec:40 LogProb:-9.909182282348231
Palabra:aggressively Frec:14 LogProb:-10.91470414795033
Palabra:agile Frec:18 LogProb:-10.6783153698861
Palabra:agility Frec:2 LogProb:-12.52414206038443
Palabra:aging Frec:8 LogProb:-11.42552977171632
Palabra:agitate Frec:1 LogProb:-12.929607168492595
Palabra:agitation Frec:3 LogProb:-12.23645998793265
Palabra:agnostic Frec:2 LogProb:-12.52414206038443
Palabra:ago Frec:443 LogProb:-7.526929786620315
Palabra:agone Frec:1 LogProb:-12.929607168492595
Palabra:agony Frec:1 LogProb:-12.929607168492595
Palabra:agora Frec:7 LogProb:-11.543312807372704
Palabra:agraphic Frec:2 LogProb:-12.52414206038443
Palabra:agree Frec:299 LogProb:-7.918971874396338
Palabra:agreeable Frec:55 LogProb:-9.59740265831739
Palabra:agreed Frec:174 LogProb:-8.457968375129026
Palabra:agreeing Frec:20 LogProb:-10.578231911329116
Palabra:agreement Frec:646 LogProb:-7.150408054551639
Palabra:agrege Frec:1 LogProb:-12.929607168492595
Palabra:agricole Frec:1 LogProb:-12.929607168492595
Palabra:agricultural Frec:14 LogProb:-10.91470414795033
Palabra:agriculture Frec:13 LogProb:-10.983697019437281
Palabra:aground Frec:1 LogProb:-12.929607168492595
Palabra:agua Frec:9 LogProb:-11.320169256058493
Palabra:ah Frec:45 LogProb:-9.794112952563445
Palabra:aha Frec:1 LogProb:-12.929607168492595
Palabra:ahead Frec:182 LogProb:-8.413268196211119
Palabra:ahem Frec:10 LogProb:-11.22485907625417
Palabra:ai Frec:138 LogProb:-8.688280415921849
Palabra:aid Frec:48 LogProb:-9.730934050941913
Palabra:aide Frec:4 LogProb:-12.013316436618439
Palabra:ailing Frec:5 LogProb:-11.830994879824484
Palabra:aim Frec:135 LogProb:-8.710099463316487
Palabra:aimara Frec:3 LogProb:-12.23645998793265
Palabra:aimer Frec:2 LogProb:-12.52414206038443
Palabra:aiming Frec:11 LogProb:-11.13784769926454
Palabra:aint Frec:20 LogProb:-10.578231911329116
Palabra:air Frec:145 LogProb:-8.639147727344204
Palabra:aircraft Frec:14 LogProb:-10.91470414795033
Palabra:aire Frec:2 LogProb:-12.52414206038443
Palabra:airframe Frec:1 LogProb:-12.929607168492595
Palabra:airing Frec:16 LogProb:-10.789541004996323
Palabra:airliner Frec:2 LogProb:-12.52414206038443
Palabra:airmail Frec:53 LogProb:-9.633770302488266
Palabra:airplane Frec:5 LogProb:-11.830994879824484
Palabra:airport Frec:87 LogProb:-9.145417534574333
Palabra:airstrip Frec:1 LogProb:-12.929607168492595
Palabra:airtight Frec:1 LogProb:-12.929607168492595
Palabra:airy Frec:2 LogProb:-12.52414206038443
Palabra:aisle Frec:2 LogProb:-12.52414206038443
Palabra:ait Frec:15 LogProb:-10.850165626812759
Palabra:ak Frec:2 LogProb:-12.52414206038443
Palabra:aka Frec:12 LogProb:-11.057804991591002
Palabra:akin Frec:11 LogProb:-11.13784769926454
Palabra:ako Frec:2 LogProb:-12.52414206038443
Palabra:al Frec:181 LogProb:-8.418747661975745
Palabra:ala Frec:4 LogProb:-12.013316436618439
Palabra:alameda Frec:3 LogProb:-12.23645998793265
Palabra:alamo Frec:19 LogProb:-10.627022075498548
Palabra:alan Frec:146 LogProb:-8.632321762273804
Palabra:aland Frec:5 LogProb:-11.830994879824484
Palabra:alarm Frec:11 LogProb:-11.13784769926454
Palabra:alarmed Frec:3 LogProb:-12.23645998793265
Palabra:alarming Frec:4 LogProb:-12.013316436618439
Palabra:alas Frec:6 LogProb:-11.676844199997227
Palabra:alb Frec:34 LogProb:-10.067406287563125
Palabra:alba Frec:1 LogProb:-12.929607168492595
Palabra:albe Frec:1 LogProb:-12.929607168492595
Palabra:albedo Frec:1 LogProb:-12.929607168492595
Palabra:albeit Frec:18 LogProb:-10.6783153698861
Palabra:albino Frec:1 LogProb:-12.929607168492595
Palabra:album Frec:24 LogProb:-10.40387852418434
Palabra:alchemy Frec:1 LogProb:-12.929607168492595
Palabra:alcohol Frec:6 LogProb:-11.676844199997227
Palabra:alcoholic Frec:4 LogProb:-12.013316436618439
Palabra:alcoholism Frec:2 LogProb:-12.52414206038443
Palabra:alder Frec:2 LogProb:-12.52414206038443
Palabra:ale Frec:5 LogProb:-11.830994879824484
Palabra:alec Frec:8 LogProb:-11.42552977171632
Palabra:alemana Frec:1 LogProb:-12.929607168492595
Palabra:alert Frec:47 LogProb:-9.75155333814465
Palabra:alewife Frec:1 LogProb:-12.929607168492595
Palabra:alexia Frec:1 LogProb:-12.929607168492595
Palabra:alf Frec:10 LogProb:-11.22485907625417
Palabra:alfa Frec:4 LogProb:-12.013316436618439
Palabra:alfonso Frec:5 LogProb:-11.830994879824484
Palabra:alfresco Frec:1 LogProb:-12.929607168492595
Palabra:algebra Frec:4 LogProb:-12.013316436618439
Palabra:algebraic Frec:7 LogProb:-11.543312807372704
Palabra:algebraically Frec:1 LogProb:-12.929607168492595
Palabra:algic Frec:7 LogProb:-11.543312807372704
Palabra:algorithm Frec:57 LogProb:-9.56231133850612
Palabra:algorithmic Frec:5 LogProb:-11.830994879824484
Palabra:alias Frec:328 LogProb:-7.8266965982871675
Palabra:alibi Frec:1 LogProb:-12.929607168492595
Palabra:alien Frec:22 LogProb:-10.48726013312339
Palabra:alienate Frec:1 LogProb:-12.929607168492595
Palabra:alight Frec:1 LogProb:-12.929607168492595
Palabra:align Frec:16 LogProb:-10.789541004996323
Palabra:alignment Frec:36 LogProb:-10.011836436408315
Palabra:alike Frec:18 LogProb:-10.6783153698861
Palabra:alimenter Frec:1 LogProb:-12.929607168492595
Palabra:alison Frec:25 LogProb:-10.364657811031057
Palabra:alisp Frec:3 LogProb:-12.23645998793265
Palabra:alive Frec:31 LogProb:-10.157018446252813
Palabra:allan Frec:33 LogProb:-10.096393824436378
Palabra:allative Frec:2 LogProb:-12.52414206038443
Palabra:allay Frec:5 LogProb:-11.830994879824484
Palabra:allege Frec:2 LogProb:-12.52414206038443
Palabra:allegedly Frec:11 LogProb:-11.13784769926454
Palabra:allegro Frec:1 LogProb:-12.929607168492595
Palabra:allemand Frec:2 LogProb:-12.52414206038443
Palabra:aller Frec:2 LogProb:-12.52414206038443
Palabra:alleviate Frec:9 LogProb:-11.320169256058493
Palabra:alley Frec:10 LogProb:-11.22485907625417
Palabra:allgood Frec:1 LogProb:-12.929607168492595
Palabra:alliance Frec:55 LogProb:-9.59740265831739
Palabra:allied Frec:3 LogProb:-12.23645998793265
Palabra:allies Frec:6 LogProb:-11.676844199997227
Palabra:alliteration Frec:2 LogProb:-12.52414206038443
Palabra:allocatable Frec:3 LogProb:-12.23645998793265
Palabra:allocate Frec:38 LogProb:-9.959192702922893
Palabra:allocation Frec:109 LogProb:-8.922273983260123
Palabra:allocator Frec:2 LogProb:-12.52414206038443
Palabra:allomorph Frec:1 LogProb:-12.929607168492595
Palabra:allophone Frec:1 LogProb:-12.929607168492595
Palabra:allow Frec:337 LogProb:-7.799708453569521
Palabra:allowable Frec:3 LogProb:-12.23645998793265
Palabra:allowance Frec:11 LogProb:-11.13784769926454
Palabra:alloy Frec:2 LogProb:-12.52414206038443
Palabra:allude Frec:3 LogProb:-12.23645998793265
Palabra:allure Frec:1 LogProb:-12.929607168492595
Palabra:allusion Frec:2 LogProb:-12.52414206038443
Palabra:allusive Frec:1 LogProb:-12.929607168492595
Palabra:ally Frec:5 LogProb:-11.830994879824484
Palabra:alma Frec:7 LogProb:-11.543312807372704
Palabra:almighty Frec:1 LogProb:-12.929607168492595
